88 2889.82 23188 52 1 4 33 0.1791713 32674 0 0 1 0 1 1.285314 0 0 0
380 2415.64 0 0 1 1 33 -0.2349183 0 0 0 1 1 1 -1.364923 0 . 1
381 2415.64 36890 52 1 2 32 -0.4329817 38681.8 0 0 1 1 1 0.016632 0 0 0
599 2933.28 21080 52 1 3 32 0.4047269 21080 1 0 1 0 1 -0.5387684 0 0 0
837 3096.24 15810 52 1 2 33 -0.6667714 15810 0 0 0 0 1 -0.6799235 0 0 .
1059 2573.53 28458 52 1 1 33 0.2637187 47430 1 0 1 0 1 -1.082606 1 0 0
1156 2281.44 16864 48 1 2 33 0.612681 16969.4 0 0 1 0 1 -0.1482369 0 0 0
1481 2908.83 34782 27 1 4 32 0.0237564 61764.4 1 0 1 1 1 0.1595986 1 0 1
1485 2856.36 1264.8 35 1 1 33 -2.860895 1264.8 1 0 1 1 1 -2.055024 0 1 0
1520 3715.48 22977.2 52 1 2 33 -0.7833325 41949.2 1 0 1 1 1 -1.542776 1 0 0
1527 3059.81 12648 52 1 2 33 -0.7874863 17918 1 0 1 1 1 -1.899081 1 0 0
2750 2653.1 18972 52 1 1 33 -0.5677737 18972 1 0 1 0 1 -1.034948 1 0 0
2761 2595.77 0 0 1 2 33 -1.001824 16282.19 1 0 1 1 1 -1.392059 1 0 1
3008 2566.62 24769 38 1 3 33 -0.1617579 24769 0 0 0 0 1 -0.6445732 0 0 1
3033 3089.45 51646 52 1 4 32 -0.2990692 92752 1 0 1 0 1 0.7944074 1 0 0
3077 3251.05 24242 52 1 2 33 -0.6474429 24242 0 0 1 0 1 -0.9766347 0 0 0
3392 3323.2 10540 32 1 2 32 0.5242879 35182.52 0 0 1 1 1 -0.4523207 0 0 0
3394 3323.2 31620 52 1 4 33 0.8174404 84847 1 0 1 1 1 0.1216159 1 0 0
3538 2607.36 32884.8 52 1 2 33 0.1791713 32911.15 1 0 1 0 1 0.5611531 0 0 0
3942 2749.42 0 0 1 1 33 -1.118885 14756 0 0 1 0 1 -1.696419 0 1 1
4710 2851.8 12648 52 1 2 33 -0.374064 0 0 0 1 1 1 -1.142074 0 . 0
5072 2851.8 8959 52 1 2 32 -2.27682 45849 0 0 1 1 1 -0.6247609 0 0 0
5075 2851.8 0 0 1 1 33 -1.072109 7378 1 0 1 0 1 -1.057181 0 0 0
5086 3301.88 0 0 1 2 33 -0.654537 40052 0 0 1 1 1 -1.764369 0 0 1
5616 2463.95 22134 52 1 2 33 -0.0518393 34782 1 1 1 1 1 -1.724052 1 0 0
11762 2851.8 0 0 1 1 32 -0.6960566 21080 1 0 1 0 1 -1.851869 1 0 1
11938 2385.14 42160 49 1 2 33 -0.1815573 154876.9 1 1 1 1 1 -1.506047 1 0 0
82 1987.93 0 0 1 2 31 -0.6268332 0 0 1 1 1 1 -1.976228 0 1 1
398 1699.43 0 0 1 1 32 0.4760219 0 0 0 1 0 1 -0.8074549 0 1 1
520 2040.24 28141.8 52 1 4 32 -0.1844743 37627.8 1 0 1 1 1 -0.7053036 1 0 0
595 2017.82 4216 52 1 1 32 0.0238154 7289.464 0 0 1 0 1 -1.103366 0 0 0
620 2317.34 31620 52 1 1 32 0.2298742 154876.9 1 0 1 1 1 -1.921087 1 0 0
625 1712.09 17918 52 1 1 32 -0.4380396 0 1 0 1 0 1 -1.497253 1 . 0
679 1712.09 9486 41 1 2 32 -1.643596 13280.4 0 0 1 1 1 -1.486722 0 0 0
847 2143.93 34044.2 52 1 2 31 -0.4224267 57759.2 1 0 1 0 1 -0.6932554 1 0 0
910 1673.63 48484 52 1 4 31 0.6751502 48484 0 0 1 0 1 0.768824 0 0 0
1068 1717.75 0 0 1 1 32 -1.388695 0 0 0 1 1 1 -2.221471 0 1 1
1148 1569.42 25296 52 1 2 32 -1.362463 37438.08 1 0 1 1 1 -1.698882 1 0 0
1194 1729.78 43214 52 1 1 32 -0.9160187 43266.7 0 0 1 0 1 -0.9213471 0 0 0
1288 1793.62 12648 52 1 3 32 -1.318093 12648 0 0 1 0 1 -1.367464 0 0 0
1486 1964.9 25296 44 1 1 31 -0.1318877 50592 1 0 1 1 1 -0.5367251 1 0 0
1488 1964.9 23188 52 1 2 33 -1.072109 23188 1 0 1 0 1 -1.346716 0 0 0
2363 1569.42 0 0 1 1 31 -1.814514 2082.704 0 0 0 0 1 -1.468459 0 1 1
2717 1569.42 22134 52 1 1 31 -0.4215195 43214 1 0 1 1 1 -1.417267 1 0 0
2733 1569.42 21080 52 1 2 32 -0.4874322 40052 1 0 1 0 1 -1.422319 1 0 0
2751 1825.08 22134 52 1 2 32 -0.0268478 33728 1 0 1 0 1 -0.8739999 1 0 0
2764 1785.64 19214.42 52 1 1 32 -1.499642 0 1 0 1 0 1 -1.376115 0 . 0
3030 1762.62 16864 52 1 1 32 -1.114918 0 0 0 1 0 1 -1.438437 0 . 0
3192 2677.81 13702 39 1 1 31 -1.184036 54808 0 1 1 0 1 -0.4982989 0 0 1
3327 2059.06 23188 52 1 2 32 -0.2154017 23188 1 0 1 1 1 -1.738845 0 0 .
3840 1651.81 13702 52 1 2 31 -0.4273751 13702 0 0 1 0 1 -1.354466 0 0 0
3954 1891.34 6324 42 1 2 31 -0.7511046 6324 0 0 1 1 1 -0.8373771 0 1 0
3966 2220.99 44268 26 1 4 32 -0.4027119 0 1 0 1 1 1 0.857437 1 . .
4008 2017.82 32674 52 1 2 32 1.285146 32753.05 0 0 1 0 1 -1.149706 0 0 0
